Response,Age,Job,Marital Status,Education,balance,housing,loan
yes,34,bluecollar,married,secondary,331,yes,yes
yes,38,technician,married,secondary,9,yes,no
yes,57,selfemployed,married,tertiary,3313,yes,yes
yes,29,admin,single,secondary,228,yes,no
yes,31,services,single,secondary,68,yes,no
yes,56,admin,divorced,secondary,435,yes,yes
yes,37,admin,married,secondary,0,no,no
yes,54,management,married,tertiary,153,no,no
yes,53,technician,divorced,secondary,896,no,yes
yes,37,technician,single,secondary,375,no,no
yes,34,bluecollar,married,secondary,1,yes,no
yes,59,retired,married,unknown,114,no,yes
yes,29,admin,divorced,tertiary,0,no,yes
yes,46,technician,married,secondary,4,no,yes
yes,38,management,married,tertiary,327,yes,yes
yes,56,bluecollar,married,primary,160,no,no
yes,47,bluecollar,single,secondary,380,no,no
yes,32,admin,single,secondary,17,no,no
yes,33,bluecollar,married,primary,2,yes,yes
yes,35,unemployed,single,primary,84,no,no
yes,48,management,married,tertiary,0,no,yes
yes,44,unemployed,married,primary,43,yes,no
yes,34,bluecollar,single,primary,81,no,yes
yes,38,entrepreneur,married,secondary,15,yes,no
yes,28,bluecollar,single,secondary,0,no,yes
yes,41,bluecollar,married,primary,76,no,yes
yes,43,selfemployed,married,secondary,1415,no,no
yes,35,bluecollar,divorced,primary,0,yes,no
yes,29,technician,single,secondary,33,no,yes
yes,37,bluecollar,divorced,secondary,54,yes,no
yes,46,bluecollar,married,secondary,319,no,yes
yes,37,unemployed,single,tertiary,0,yes,no
yes,50,services,married,secondary,892,yes,no
yes,52,bluecollar,single,tertiary,517,no,yes
yes,38,selfemployed,single,secondary,0,no,no
yes,42,housemaid,married,primary,16,no,no
yes,31,bluecollar,single,secondary,9,yes,yes
yes,38,bluecollar,married,secondary,10,no,no
yes,51,entrepreneur,single,tertiary,15,no,no
yes,37,bluecollar,married,primary,142,no,no
yes,34,bluecollar,married,secondary,745,yes,yes
yes,44,services,married,secondary,146,yes,no
yes,31,services,single,primary,357,yes,yes
yes,44,management,married,secondary,0,yes,no
yes,46,technician,divorced,secondary,11,no,no
yes,40,technician,married,secondary,32,yes,no
yes,37,technician,married,tertiary,681,yes,yes
yes,35,management,single,tertiary,1980,yes,yes
yes,59,retired,married,primary,13,no,no
yes,31,management,single,secondary,0,no,no
yes,43,selfemployed,married,tertiary,310,yes,no
yes,56,management,married,primary,255,yes,no
yes,57,entrepreneur,divorced,secondary,25,yes,no
yes,54,entrepreneur,married,secondary,401,yes,no
yes,31,selfemployed,married,tertiary,147,yes,no
yes,30,management,divorced,tertiary,1105,yes,no
yes,51,management,single,tertiary,55,yes,no
yes,36,bluecollar,divorced,primary,0,yes,no
yes,42,bluecollar,married,secondary,204,yes,no
yes,53,unemployed,married,secondary,233,yes,no
yes,48,services,single,secondary,470,yes,no
yes,49,admin,married,secondary,15,no,no
yes,49,management,divorced,tertiary,0,yes,no
yes,51,bluecollar,married,primary,283,yes,no
yes,26,management,divorced,tertiary,402,no,yes
yes,28,bluecollar,single,secondary,871,yes,no
yes,30,bluecollar,single,unknown,149,yes,yes
yes,31,entrepreneur,single,tertiary,37,yes,no
yes,47,entrepreneur,married,unknown,1445,yes,no
yes,26,bluecollar,single,secondary,23,yes,no
yes,32,admin,divorced,secondary,18,yes,no
yes,28,unemployed,single,secondary,353,yes,no
yes,57,bluecollar,married,primary,0,yes,no
yes,49,entrepreneur,married,secondary,178,no,yes
yes,37,technician,married,secondary,693,no,no
yes,24,bluecollar,single,secondary,203,yes,no
yes,42,technician,single,secondary,0,no,yes
yes,31,management,married,tertiary,253,no,no
yes,33,technician,single,secondary,329,no,no
yes,30,technician,single,tertiary,23,no,no
yes,36,technician,single,secondary,12,no,no
yes,46,management,divorced,secondary,2,no,no
yes,39,services,divorced,secondary,96,yes,yes
yes,26,admin,divorced,secondary,3,yes,no
yes,32,unemployed,married,secondary,2,yes,no
yes,32,management,single,tertiary,3,yes,no
yes,41,bluecollar,divorced,primary,210,yes,no
yes,24,services,single,secondary,122,yes,no
yes,47,retired,married,primary,13,no,no
yes,30,services,married,secondary,846,yes,no
yes,53,management,married,secondary,689,yes,no
yes,27,bluecollar,married,primary,588,no,no
yes,25,services,single,secondary,57,yes,yes
yes,45,admin,married,secondary,571,no,no
yes,31,entrepreneur,single,tertiary,405,yes,yes
yes,59,management,married,tertiary,782,no,yes
yes,42,unemployed,married,primary,581,yes,no
yes,28,bluecollar,single,secondary,2,yes,yes
yes,28,housemaid,married,secondary,65,yes,yes
yes,36,bluecollar,single,secondary,1157,yes,no
yes,45,management,divorced,tertiary,946,yes,no
yes,45,unemployed,divorced,primary,11,no,no
yes,25,technician,single,tertiary,160,no,yes
yes,25,admin,single,secondary,53,yes,no
yes,27,bluecollar,single,secondary,2,yes,yes
yes,30,bluecollar,single,secondary,447,no,no
yes,39,technician,married,secondary,183,yes,no
yes,42,admin,married,secondary,1300,no,no
yes,41,services,divorced,secondary,198,no,yes
yes,37,technician,married,tertiary,0,yes,no
yes,50,admin,divorced,secondary,500,yes,no
yes,34,bluecollar,single,secondary,115,yes,no
yes,30,admin,single,secondary,35,yes,no
yes,43,technician,divorced,secondary,73,yes,no
yes,33,bluecollar,married,secondary,406,yes,yes
yes,52,bluecollar,single,primary,2,no,no
yes,59,retired,single,secondary,341,no,yes
yes,27,admin,married,secondary,517,yes,no
yes,27,housemaid,married,primary,238,no,no
yes,31,management,married,tertiary,0,no,no
yes,41,technician,married,secondary,1,no,no
yes,34,technician,single,secondary,14,no,no
yes,30,technician,single,secondary,305,no,yes
yes,58,retired,divorced,secondary,397,no,yes
yes,45,bluecollar,single,secondary,0,yes,no
yes,26,admin,single,secondary,930,yes,no
yes,32,bluecollar,single,secondary,575,yes,no
yes,48,bluecollar,married,primary,50,yes,no
yes,71,retired,divorced,tertiary,1236,yes,no
yes,50,management,married,tertiary,143,yes,no
yes,47,bluecollar,married,primary,1385,yes,yes
yes,41,bluecollar,married,secondary,204,yes,no
yes,36,unemployed,married,secondary,318,yes,no
yes,34,management,married,unknown,353,yes,no
yes,55,management,married,unknown,171,yes,no
yes,33,management,single,secondary,174,yes,no
yes,52,entrepreneur,married,secondary,36,no,yes
yes,26,services,married,secondary,27,yes,no
yes,60,management,divorced,tertiary,20,no,yes
yes,36,services,divorced,secondary,0,no,yes
yes,45,bluecollar,single,primary,183,no,yes
yes,47,unemployed,divorced,secondary,342,yes,no
yes,27,services,single,tertiary,152,yes,yes
yes,30,technician,single,secondary,28,yes,no
yes,48,management,married,tertiary,13,yes,no
yes,39,bluecollar,divorced,secondary,202,yes,yes
yes,30,admin,single,secondary,228,yes,no
yes,39,entrepreneur,married,tertiary,172,yes,no
yes,26,services,single,secondary,162,yes,no
yes,57,retired,married,secondary,32,yes,no
yes,35,management,married,tertiary,10,yes,no
yes,44,housemaid,married,primary,972,yes,yes
yes,57,entrepreneur,married,tertiary,524,yes,no
yes,27,management,single,tertiary,308,yes,no
yes,49,bluecollar,divorced,secondary,259,no,no
yes,42,bluecollar,married,primary,398,yes,no
yes,27,management,single,tertiary,0,yes,no
yes,48,bluecollar,divorced,secondary,296,no,yes
yes,59,bluecollar,married,secondary,918,yes,no
yes,39,management,married,tertiary,47,no,no
yes,47,technician,married,tertiary,813,yes,yes
yes,36,housemaid,married,tertiary,1941,yes,no
yes,53,technician,single,secondary,435,yes,yes
yes,45,bluecollar,single,secondary,0,no,yes
yes,32,technician,single,secondary,0,no,yes
yes,28,admin,married,secondary,105,no,no
yes,39,entrepreneur,married,secondary,0,no,no
yes,54,bluecollar,married,secondary,381,yes,yes
yes,26,admin,single,secondary,0,yes,no
yes,39,management,married,tertiary,1586,yes,yes
yes,31,services,married,secondary,455,no,yes
yes,31,management,married,tertiary,1038,yes,no
yes,32,bluecollar,married,secondary,53,yes,no
yes,50,admin,married,secondary,437,yes,yes
yes,35,admin,married,secondary,76,no,yes
yes,45,housemaid,married,primary,0,no,yes
yes,37,management,single,tertiary,25,no,no
yes,37,admin,divorced,secondary,302,no,no
yes,36,bluecollar,married,secondary,0,no,yes
yes,29,admin,single,secondary,95,yes,no
yes,37,management,married,secondary,33,no,yes
yes,37,selfemployed,married,secondary,0,yes,no
yes,27,housemaid,married,secondary,65,yes,yes
yes,26,student,single,tertiary,47,no,yes
yes,38,services,married,primary,1,yes,no
yes,37,management,married,tertiary,0,no,no
yes,37,management,married,tertiary,0,no,no
yes,54,management,married,secondary,5249,yes,no
yes,48,technician,married,secondary,295,no,yes
yes,57,management,married,tertiary,24,yes,no
yes,53,retired,single,secondary,741,yes,yes
yes,41,selfemployed,married,secondary,0,yes,no
yes,37,services,married,secondary,954,yes,no
yes,36,management,single,tertiary,508,yes,no
yes,36,technician,single,secondary,487,yes,no
yes,33,bluecollar,divorced,unknown,274,yes,yes
yes,34,management,married,secondary,879,yes,no
yes,37,bluecollar,divorced,secondary,689,no,no
yes,37,technician,married,secondary,0,no,no
yes,48,management,married,tertiary,0,no,yes
yes,45,services,married,secondary,144,no,no
yes,43,management,single,secondary,1164,yes,yes
yes,56,bluecollar,divorced,primary,1,no,no
yes,29,services,single,secondary,308,no,no
yes,29,bluecollar,married,secondary,643,yes,no
yes,31,technician,married,secondary,367,yes,no
yes,59,retired,married,secondary,2,no,yes
yes,29,entrepreneur,married,secondary,388,yes,no
yes,30,services,single,secondary,366,yes,no
yes,29,technician,single,secondary,28,yes,no
yes,27,selfemployed,single,tertiary,5,no,yes
yes,31,admin,single,secondary,429,no,yes
yes,37,housemaid,married,secondary,205,no,yes
yes,50,management,married,tertiary,161,no,yes
yes,26,technician,single,secondary,454,no,yes
yes,57,management,married,tertiary,1218,yes,no
yes,38,admin,single,secondary,61,no,yes
yes,45,bluecollar,married,primary,153,no,yes
yes,51,management,single,tertiary,55,yes,no
yes,33,management,single,tertiary,5,no,no
yes,46,bluecollar,married,tertiary,388,no,no
yes,33,management,divorced,tertiary,280,no,yes
yes,51,entrepreneur,married,tertiary,4,yes,no
yes,38,entrepreneur,single,tertiary,0,yes,no
yes,49,management,married,tertiary,24,no,no
yes,30,technician,single,secondary,305,no,yes
yes,37,selfemployed,divorced,tertiary,353,yes,yes
yes,43,technician,single,secondary,685,yes,no
yes,35,admin,married,secondary,0,yes,yes
yes,42,management,single,tertiary,130,yes,yes
yes,34,entrepreneur,single,tertiary,1709,no,yes
yes,46,technician,divorced,secondary,1361,yes,yes
yes,47,unemployed,married,secondary,0,no,no
yes,49,bluecollar,single,primary,2604,yes,no
yes,38,management,married,tertiary,540,no,no
yes,54,management,married,tertiary,0,no,yes
yes,52,entrepreneur,married,tertiary,2,no,no
yes,31,management,single,secondary,0,no,no
yes,42,services,married,secondary,129,no,no
yes,33,technician,divorced,secondary,10,yes,yes
yes,46,management,single,secondary,177,no,no
yes,48,management,married,secondary,998,yes,no
yes,23,student,married,tertiary,230,yes,no
yes,24,technician,single,secondary,1329,yes,no
yes,26,management,single,tertiary,130,yes,no
yes,32,services,single,secondary,687,yes,no
yes,38,entrepreneur,single,tertiary,38,yes,no
yes,32,admin,divorced,secondary,5,yes,yes
yes,24,services,single,secondary,1414,yes,yes
yes,44,entrepreneur,married,secondary,848,yes,no
yes,44,admin,married,secondary,1249,yes,yes
yes,27,management,single,tertiary,0,yes,no
yes,27,bluecollar,single,secondary,3,yes,no
yes,53,admin,married,tertiary,6,no,no
yes,38,management,married,tertiary,1007,yes,yes
yes,56,retired,married,secondary,101,no,yes
yes,40,entrepreneur,married,tertiary,0,no,no
yes,42,management,divorced,secondary,923,yes,no
yes,60,retired,married,secondary,0,no,no
yes,39,management,single,tertiary,401,yes,no
yes,33,technician,married,secondary,18,no,yes
yes,53,bluecollar,married,secondary,634,no,no
yes,31,technician,divorced,tertiary,1200,no,no
yes,48,technician,married,primary,530,no,yes
yes,37,technician,divorced,secondary,0,no,yes
yes,35,unemployed,single,secondary,126,no,no
yes,36,management,married,tertiary,485,yes,no
yes,30,bluecollar,single,secondary,447,no,no
yes,41,bluecollar,single,secondary,81,no,no
yes,33,management,married,tertiary,148,yes,yes
yes,48,retired,married,primary,285,no,yes
yes,49,technician,married,secondary,74,yes,no
yes,44,management,single,tertiary,12,yes,no
yes,41,entrepreneur,divorced,tertiary,0,yes,no
yes,33,unemployed,married,secondary,108,yes,yes
yes,56,selfemployed,married,tertiary,0,no,no
yes,32,technician,single,tertiary,0,no,no
yes,37,services,married,primary,483,yes,yes
yes,44,technician,married,secondary,16486,yes,yes
yes,30,unemployed,married,secondary,19,no,no
yes,35,technician,divorced,secondary,52,yes,no
yes,38,services,married,secondary,242,yes,yes
yes,43,bluecollar,married,primary,635,yes,no
yes,34,services,married,secondary,421,yes,no
yes,35,management,single,secondary,202,yes,no
yes,56,management,divorced,tertiary,1968,no,no
yes,48,selfemployed,divorced,secondary,7,no,no
yes,51,bluecollar,married,secondary,0,no,yes
yes,42,unknown,single,unknown,61,no,no
yes,43,bluecollar,divorced,unknown,1,no,no
yes,44,bluecollar,married,primary,0,no,yes
yes,30,bluecollar,divorced,secondary,457,yes,no
yes,41,management,married,secondary,771,no,yes
yes,42,admin,married,secondary,9,no,no
yes,39,entrepreneur,divorced,tertiary,251,no,no
yes,39,housemaid,divorced,secondary,127,no,no
yes,47,admin,married,secondary,57,no,yes
yes,50,entrepreneur,married,primary,537,yes,no
yes,37,entrepreneur,married,tertiary,456,yes,yes
yes,37,services,divorced,primary,475,no,no
yes,35,bluecollar,divorced,secondary,12,no,yes
yes,48,services,married,secondary,20,no,no
yes,33,technician,single,secondary,374,no,yes
yes,51,admin,married,unknown,12,no,no
yes,33,management,married,secondary,7,no,yes
yes,33,technician,married,tertiary,56,no,no
yes,46,services,married,secondary,130,no,no
yes,40,technician,married,secondary,432,yes,yes
yes,38,selfemployed,divorced,secondary,2,no,no
yes,33,admin,single,secondary,266,no,yes
yes,41,bluecollar,single,secondary,386,no,yes
yes,52,management,married,primary,57,yes,yes
yes,51,bluecollar,divorced,secondary,56,yes,yes
yes,50,management,married,secondary,421,no,no
yes,31,selfemployed,single,tertiary,282,yes,no
yes,49,bluecollar,married,primary,98,yes,no
yes,53,selfemployed,divorced,tertiary,10,no,no
yes,44,management,married,tertiary,53,yes,no
yes,42,admin,divorced,secondary,723,no,no
yes,34,entrepreneur,married,secondary,538,yes,no
yes,44,bluecollar,married,secondary,105,yes,no
yes,45,bluecollar,married,primary,443,yes,yes
yes,38,technician,divorced,tertiary,530,yes,no
yes,30,bluecollar,single,secondary,239,yes,no
yes,37,services,married,secondary,954,yes,no
yes,35,technician,married,secondary,29,yes,yes
yes,36,admin,divorced,secondary,491,yes,yes
yes,43,management,married,tertiary,0,no,no
yes,49,management,married,tertiary,6847,no,yes
yes,28,bluecollar,married,primary,124,yes,no
yes,54,housemaid,divorced,secondary,34,no,no
yes,26,housemaid,single,primary,1006,yes,yes
yes,37,selfemployed,married,secondary,0,no,yes
yes,42,technician,married,secondary,55,yes,no
yes,40,technician,single,secondary,96,no,yes
yes,38,admin,divorced,secondary,0,no,yes
yes,41,bluecollar,married,secondary,750,yes,yes
yes,38,services,married,secondary,433,yes,no
yes,34,housemaid,married,secondary,0,no,no
yes,32,selfemployed,married,secondary,9,no,no
yes,31,technician,single,tertiary,24,no,no
yes,46,management,married,tertiary,337,no,yes
yes,42,management,single,tertiary,0,no,yes
yes,50,services,divorced,secondary,210,no,yes
yes,46,management,married,tertiary,549,no,no
yes,46,management,married,tertiary,1001,yes,no
yes,33,bluecollar,married,primary,0,yes,no
yes,47,technician,married,tertiary,813,yes,yes
yes,31,entrepreneur,single,tertiary,405,yes,yes
yes,37,management,divorced,tertiary,26,no,yes
yes,35,unemployed,married,secondary,1054,yes,yes
yes,42,management,single,tertiary,0,yes,no
yes,32,unemployed,single,primary,0,no,no
yes,33,entrepreneur,single,secondary,1,yes,no
yes,45,management,married,secondary,237,yes,no
yes,35,management,married,tertiary,0,yes,yes
yes,36,entrepreneur,married,secondary,1,yes,no
yes,35,management,married,tertiary,32,yes,no
yes,39,management,married,tertiary,47,no,no
yes,49,management,married,tertiary,10,yes,no
yes,56,retired,married,secondary,1122,yes,yes
yes,34,management,married,tertiary,0,no,yes
yes,44,management,married,tertiary,0,yes,no
yes,31,services,married,secondary,29,no,no
yes,41,admin,single,secondary,0,no,yes
yes,31,services,married,secondary,158,yes,no
yes,45,retired,single,secondary,86,no,no
yes,36,bluecollar,married,tertiary,530,yes,no
yes,40,bluecollar,divorced,primary,0,yes,no
yes,51,technician,divorced,secondary,113,no,yes
yes,35,management,married,tertiary,8,yes,no
yes,43,bluecollar,married,primary,0,no,yes
yes,55,services,divorced,secondary,404,yes,no
yes,27,services,single,secondary,1,no,no
yes,26,services,single,secondary,0,no,yes
yes,34,bluecollar,married,secondary,7,yes,no
yes,33,technician,divorced,secondary,6,no,no
yes,47,management,married,secondary,0,no,yes
yes,34,technician,married,secondary,172,no,no
yes,44,management,divorced,tertiary,26,no,no
yes,50,management,married,tertiary,72,no,no
yes,59,management,divorced,tertiary,0,no,no
yes,32,bluecollar,married,secondary,98,no,yes
yes,40,bluecollar,married,primary,509,yes,no
yes,36,management,divorced,tertiary,1,yes,yes
yes,24,services,married,secondary,110,yes,no
yes,46,admin,single,unknown,0,no,no
yes,33,services,divorced,secondary,339,yes,no
yes,32,bluecollar,divorced,unknown,274,yes,yes
yes,43,entrepreneur,married,secondary,150,yes,yes
yes,34,bluecollar,single,secondary,369,yes,no
yes,40,services,single,secondary,306,yes,no
yes,30,bluecollar,single,secondary,4,yes,no
yes,33,bluecollar,married,secondary,2,no,no
yes,26,technician,single,secondary,516,yes,no
yes,27,bluecollar,single,secondary,27,no,no
yes,29,bluecollar,single,secondary,580,yes,no
yes,40,management,married,tertiary,1036,yes,yes
yes,31,management,married,secondary,0,no,yes
yes,49,admin,divorced,secondary,2405,yes,no
yes,35,management,married,secondary,550,no,yes
yes,29,bluecollar,married,unknown,163,yes,yes
yes,48,services,single,secondary,470,yes,no
yes,52,bluecollar,married,primary,0,no,no
yes,40,bluecollar,single,secondary,61,no,no
yes,28,services,single,secondary,7,no,yes
yes,36,management,divorced,tertiary,20,no,yes
yes,42,admin,divorced,secondary,0,no,no
yes,57,retired,divorced,primary,0,no,yes
yes,37,technician,married,secondary,0,no,yes
yes,24,unemployed,single,tertiary,164,yes,yes
yes,38,bluecollar,single,primary,129,yes,no
yes,53,management,married,tertiary,252,no,yes
yes,52,management,divorced,tertiary,0,no,no
yes,37,management,divorced,primary,0,yes,no
yes,41,bluecollar,married,secondary,720,no,yes
yes,34,technician,single,secondary,103,yes,yes
yes,45,management,married,tertiary,577,yes,yes
yes,30,management,single,secondary,985,no,no
yes,32,management,single,tertiary,62,no,yes
yes,35,technician,single,secondary,0,no,no
yes,32,services,married,secondary,220,yes,yes
yes,32,bluecollar,married,secondary,49,yes,no
yes,26,selfemployed,married,secondary,254,yes,yes
yes,57,entrepreneur,married,secondary,525,no,yes
yes,38,housemaid,married,primary,0,no,no
yes,33,services,married,secondary,319,yes,no
yes,31,bluecollar,single,secondary,535,yes,no
yes,26,entrepreneur,married,tertiary,144,no,yes
yes,59,housemaid,divorced,primary,0,no,yes
yes,31,services,single,secondary,21,no,yes
yes,58,entrepreneur,married,tertiary,0,no,yes
yes,34,entrepreneur,single,secondary,200,no,yes
yes,26,services,divorced,primary,2,yes,yes
yes,32,technician,married,secondary,4,yes,yes
yes,41,management,divorced,tertiary,68,yes,yes
yes,60,management,married,tertiary,311,no,no
yes,47,bluecollar,married,unknown,162,no,no
yes,37,technician,married,secondary,886,yes,no
yes,41,bluecollar,married,secondary,651,yes,yes
yes,51,housemaid,married,secondary,1013,yes,no
yes,43,admin,married,secondary,204,yes,no
yes,37,bluecollar,married,secondary,1147,yes,yes
yes,47,bluecollar,married,secondary,614,yes,no
yes,47,bluecollar,divorced,secondary,0,no,yes
yes,32,bluecollar,single,secondary,130,no,no
yes,44,management,married,tertiary,11,no,no
yes,45,management,married,tertiary,190,no,yes
yes,31,admin,married,secondary,51,no,yes
yes,30,management,married,secondary,471,yes,no
yes,32,management,single,tertiary,5,yes,no
yes,55,selfemployed,married,secondary,0,no,no
yes,36,technician,single,secondary,0,no,yes
yes,50,bluecollar,married,secondary,0,yes,no
yes,31,bluecollar,married,primary,0,yes,no
yes,32,bluecollar,married,secondary,238,yes,no
yes,23,bluecollar,single,primary,627,yes,yes
yes,27,bluecollar,single,secondary,87,yes,no
yes,36,services,single,secondary,455,no,no
yes,40,bluecollar,married,primary,56,yes,no
yes,32,bluecollar,married,primary,275,yes,yes
yes,26,bluecollar,married,primary,683,yes,yes
yes,32,services,married,secondary,684,yes,no
yes,25,entrepreneur,single,tertiary,6,yes,yes
yes,34,technician,married,secondary,34,yes,no
yes,49,technician,married,secondary,1680,yes,yes
yes,33,technician,single,secondary,173,no,no
yes,51,bluecollar,married,primary,17,no,no
yes,49,technician,married,secondary,410,no,no
yes,41,management,married,tertiary,852,yes,yes
yes,43,management,married,tertiary,0,no,no
yes,48,technician,divorced,secondary,20,no,no
yes,40,management,married,secondary,1545,no,no
yes,34,technician,single,tertiary,1,no,no
yes,40,selfemployed,married,secondary,2,no,no
yes,40,technician,married,secondary,4,no,no
yes,58,retired,married,primary,235,no,yes
yes,31,services,single,secondary,248,no,no
yes,32,technician,married,secondary,71,yes,no
yes,30,unemployed,single,secondary,770,yes,no
yes,31,technician,married,secondary,463,yes,no
yes,40,admin,married,secondary,279,yes,no
yes,29,technician,single,secondary,397,yes,no
yes,34,admin,single,secondary,7,no,no
yes,45,management,married,tertiary,1655,yes,no
yes,43,bluecollar,married,secondary,504,yes,no
yes,31,admin,married,unknown,310,yes,no
yes,33,admin,married,secondary,675,yes,no
yes,54,technician,married,tertiary,337,yes,no
yes,36,technician,married,secondary,947,yes,no
yes,39,bluecollar,married,secondary,931,yes,no
yes,36,bluecollar,married,secondary,347,yes,yes
yes,30,bluecollar,married,primary,0,yes,yes
yes,32,bluecollar,married,secondary,354,yes,yes
yes,51,entrepreneur,married,secondary,2082,no,yes
yes,47,bluecollar,divorced,primary,0,yes,no
yes,28,management,married,tertiary,84,no,yes
yes,51,selfemployed,married,secondary,206,no,yes
yes,31,management,single,secondary,20,yes,no
yes,39,admin,married,secondary,104,yes,no
yes,43,bluecollar,single,primary,69,no,yes
yes,40,management,married,tertiary,0,no,no
yes,26,bluecollar,single,secondary,685,yes,yes
yes,58,retired,married,secondary,146,no,yes
yes,56,retired,married,primary,123,no,yes
yes,53,services,married,secondary,2262,no,no
yes,53,housemaid,married,primary,42,no,no
yes,34,technician,single,tertiary,6,no,no
yes,47,services,married,unknown,0,no,no
yes,34,management,single,tertiary,621,no,no
yes,40,technician,married,secondary,0,no,no
yes,36,technician,married,tertiary,63,no,no
yes,35,technician,single,secondary,30,no,no
yes,55,technician,divorced,secondary,4,no,no
yes,33,bluecollar,married,secondary,354,yes,yes
yes,54,admin,married,secondary,1089,no,yes
yes,31,services,single,unknown,10,no,no
yes,27,student,single,primary,25,no,no
yes,39,entrepreneur,married,tertiary,1,yes,yes
yes,35,bluecollar,married,primary,1489,yes,yes
yes,48,management,divorced,tertiary,625,yes,no
yes,39,bluecollar,married,secondary,16,no,no
yes,43,management,married,tertiary,3372,yes,no
yes,39,admin,married,secondary,0,no,no
yes,36,bluecollar,married,primary,1168,yes,no
yes,60,retired,married,secondary,879,yes,yes
yes,26,bluecollar,single,primary,344,no,yes
yes,49,services,married,secondary,249,no,no
yes,40,admin,married,secondary,94,no,no
yes,51,management,married,tertiary,0,no,yes
yes,43,entrepreneur,married,tertiary,0,no,yes
yes,29,management,single,tertiary,1661,no,yes
yes,52,services,divorced,primary,1,no,yes
yes,32,technician,single,secondary,1,no,no
yes,33,technician,married,secondary,708,no,no
yes,34,technician,married,secondary,91,no,no
yes,41,admin,married,secondary,120,no,no
yes,37,technician,married,secondary,3,no,no
yes,43,technician,single,tertiary,0,no,no
yes,27,selfemployed,married,secondary,254,yes,yes
yes,53,bluecollar,married,primary,462,no,no
yes,32,management,single,tertiary,4,no,no
yes,37,management,married,tertiary,22,no,no
yes,26,management,divorced,tertiary,402,no,yes
yes,40,technician,single,secondary,45,no,yes
yes,53,housemaid,married,primary,945,no,no
yes,47,management,married,tertiary,337,no,yes
yes,35,technician,divorced,secondary,362,no,no
yes,27,bluecollar,single,secondary,81,no,yes
yes,48,unemployed,married,primary,6,no,no
yes,30,services,single,secondary,261,yes,no
yes,43,bluecollar,married,unknown,715,yes,no
yes,26,services,single,secondary,599,yes,yes
yes,43,bluecollar,married,primary,1202,no,no
yes,48,technician,married,secondary,0,no,no
yes,31,bluecollar,married,unknown,13,yes,no
yes,30,services,married,secondary,849,yes,no
yes,31,management,single,tertiary,365,yes,no
yes,34,entrepreneur,married,secondary,868,yes,no
yes,45,entrepreneur,married,secondary,624,no,yes
yes,44,admin,married,secondary,0,no,yes
yes,26,admin,single,secondary,42,no,yes
yes,47,bluecollar,divorced,secondary,535,yes,no
yes,46,management,married,secondary,333,no,yes
yes,44,unemployed,single,primary,4,no,yes
yes,49,entrepreneur,divorced,unknown,701,yes,no
yes,57,bluecollar,married,primary,195,no,yes
yes,41,services,married,unknown,1,no,yes
yes,38,technician,married,secondary,238,no,no
yes,51,technician,married,secondary,61,no,yes
yes,51,admin,married,secondary,160,no,yes
yes,40,admin,married,secondary,444,no,yes
yes,53,management,divorced,tertiary,0,yes,yes
yes,27,housemaid,single,secondary,319,no,yes
yes,30,management,single,tertiary,35,no,no
yes,26,services,married,secondary,13,yes,yes
yes,35,technician,married,secondary,1322,yes,no
yes,27,management,single,primary,13,no,no
yes,32,management,married,primary,1161,yes,yes
yes,54,housemaid,married,secondary,0,no,no
yes,38,technician,married,secondary,0,no,yes
yes,37,management,married,unknown,62,yes,no
yes,39,services,married,secondary,697,yes,no
yes,48,entrepreneur,married,tertiary,392,no,no
yes,43,technician,single,secondary,685,yes,no
yes,47,housemaid,married,secondary,1531,yes,no
yes,48,management,married,tertiary,0,yes,no
yes,50,services,married,secondary,0,no,no
yes,49,entrepreneur,divorced,primary,736,no,no
yes,40,technician,married,tertiary,2827,yes,yes
yes,41,management,married,tertiary,1176,yes,yes
yes,44,admin,single,unknown,612,yes,no
yes,44,technician,married,secondary,251,no,yes
yes,27,admin,single,secondary,1110,yes,yes
yes,49,unemployed,married,primary,11,yes,no
yes,43,management,single,primary,39,yes,no
yes,56,technician,married,tertiary,736,no,no
yes,28,unemployed,married,primary,44,yes,no
yes,29,management,married,tertiary,53,yes,no
